date,date_es,scheduled,pending,disabled,scheduled_ar,pending_ar,disabled_ar,scheduled_ca,pending_ca,disabled_ca,scheduled_cl,pending_cl,disabled_cl,scheduled_co,pending_co,disabled_co,scheduled_du,pending_du,disabled_du,scheduled_fd,pending_fd,disabled_fd,scheduled_fs,pending_fs,disabled_fs,scheduled_la,pending_la,disabled_la,scheduled_ma,pending_ma,disabled_ma,scheduled_mo,pending_mo,disabled_mo,scheduled_pa,pending_pa,disabled_pa,scheduled_rn,pending_rn,disabled_rn,scheduled_ro,pending_ro,disabled_ro,scheduled_rv,pending_rv,disabled_rv,scheduled_sa,pending_sa,disabled_sa,scheduled_sj,pending_sj,disabled_sj,scheduled_so,pending_so,disabled_so,scheduled_ta,pending_ta,disabled_ta,scheduled_tt,pending_tt,disabled_tt
2021-05-01,01-05-2021,71648,776453,37303,276,13556,756,3075,154918,7341,777,9738,520,2470,26264,821,1125,5159,154,2640,13150,628,650,7868,197,1467,11635,263,5975,48359,1355,47404,343708,19144,858,20395,673,82,7562,661,300,15919,381,547,9573,513,259,30615,1124,1300,24314,1192,1716,12400,575,395,16652,811,332,4668,194
2021-05-02,02-05-2021,71693,777967,37941,278,13602,762,3105,155084,7478,778,9767,528,2479,26348,832,1125,5186,158,2643,13178,632,652,7872,202,1468,11662,266,5966,48458,1397,47392,344220,19473,860,20474,683,83,7592,663,300,15946,387,547,9628,518,264,30727,1139,1308,24369,1214,1716,12434,591,395,16714,822,334,4706,196
2021-05-03,03-05-2021,71670,782527,38356,277,13710,779,3005,155715,7551,779,9911,534,2490,26546,838,1127,5279,162,2657,13244,632,653,7899,203,1469,11732,266,5976,48722,1415,47410,345898,19696,861,20645,699,83,7646,664,303,16060,390,546,9790,522,266,30994,1155,1322,24513,1231,1717,12541,597,395,16878,824,334,4804,198
2021-05-04,04-05-2021,56839,783123,39088,67,13721,799,1772,155744,7686,631,9942,536,2003,26552,852,910,5314,164,1885,13234,676,471,7895,206,1184,11734,271,4536,48770,1459,40111,346295,20058,301,20686,715,13,7590,671,13,16088,392,127,9853,524,74,30978,1177,898,24501,1247,1387,12554,607,295,16891,847,161,4781,201
2021-05-05,05-05-2021,45051,788665,40011,57,13833,811,1063,156662,7882,497,10065,550,1508,26822,886,714,5384,168,1199,13296,684,349,7949,207,902,11841,273,3150,49243,1499,33231,348303,20482,120,20889,742,20,7678,683,19,16258,397,89,10029,537,85,31183,1199,658,24672,1274,1068,12650,615,262,17030,913,60,4878,209
2021-05-06,06-05-2021,35396,791311,41051,57,13852,864,572,157288,8076,352,10157,558,1027,27005,916,499,5484,173,715,13317,708,223,8011,214,614,11896,276,2078,49477,1539,27606,348731,20928,118,20981,782,20,7728,695,19,16337,400,45,10158,546,84,31305,1263,370,24787,1311,739,12690,635,197,17160,955,61,4947,212
2021-05-07,07-05-2021,226325,593109,49919,6420,7535,894,36219,121697,9043,4689,5713,663,11257,16423,992,1511,4301,275,5371,8318,787,4076,4043,244,5010,7275,414,14149,36543,1850,81260,289835,27079,7054,14161,862,2109,5640,741,5409,11048,434,3160,7122,591,9222,22169,1592,12291,12720,1459,6506,6663,716,9140,8332,1044,1472,3571,239
2021-05-08,08-05-2021,297047,515449,50554,6602,7402,897,48659,109436,9170,4581,5686,667,11306,16091,1006,1295,4321,277,5055,8340,800,4028,4048,246,4743,7326,420,22593,27501,1868,124110,241368,27422,8578,12770,879,2125,5608,745,5410,11092,440,3159,7171,593,14883,16708,1628,13115,12008,1471,6194,6671,721,9129,8405,1063,1482,3497,241
2021-05-09,09-05-2021,456974,361764,50854,6675,7459,902,89292,70867,9208,4622,5746,672,16078,11765,1006,1299,4392,279,6441,7056,803,4060,4070,245,5968,6244,420,29538,21139,1887,219349,146712,27559,9404,12228,899,2557,5232,749,9663,7094,444,3159,7289,599,16658,15318,1649,14437,11076,1490,6830,6161,729,9423,8367,1073,1521,3549,241
2021-05-10,10-05-2021,458641,367890,43660,6743,7525,898,89889,71685,8468,4691,5820,580,16082,12142,952,1300,4505,192,6481,7100,745,4085,4097,220,6011,6314,296,29721,21435,1649,219309,149977,22307,9548,12389,855,2586,5262,707,9770,7185,417,3160,7439,567,16789,15480,1519,14570,11193,1379,6884,6207,662,9476,8533,1027,1546,3602,220
2021-05-11,11-05-2021,475945,349926,44111,7535,6789,904,95176,67652,8557,5227,5363,584,17786,10612,968,1593,4264,198,7001,6611,746,4507,3700,222,6583,5789,296,31316,20015,1669,218175,147414,22490,10549,11550,869,2892,4998,712,10705,6401,420,3704,7052,571,18015,14420,1568,15752,10207,1395,7431,5695,679,10201,7982,1039,1797,3412,224
2021-05-12,12-05-2021,472309,354291,44550,7583,6863,910,95903,68193,8622,5307,5400,587,17635,10924,979,1594,4335,205,6987,6661,754,4550,3724,223,7030,5468,301,31485,20325,1684,212762,149304,22702,10698,11633,873,2898,5032,719,10809,6478,425,3703,7215,577,18067,14647,1608,15781,10428,1419,7485,5766,685,10239,8365,1052,1793,3530,225
2021-05-13,13-05-2021,469569,356885,44870,7546,6955,915,95413,68779,8662,5289,5479,589,17096,11201,999,1568,4405,212,6844,6734,761,4519,3758,227,6937,5569,305,31068,20829,1709,212247,148522,22833,10730,11768,889,2853,5096,723,10816,6577,427,3546,7356,579,17954,14907,1633,15723,10715,1426,7489,5869,689,10212,8733,1066,1719,3633,226
2021-05-14,14-05-2021,443297,348649,44845,6851,6966,915,92780,65307,8648,4275,5618,589,15308,11489,998,1032,4497,212,5858,6719,761,3627,3797,227,5988,5608,305,28861,20586,1708,207921,142298,22827,9955,11613,889,2081,5158,723,9830,6700,427,2928,7530,579,16018,15269,1632,14149,10945,1425,6381,5883,689,8467,9078,1065,987,3588,226
2021-05-15,15-05-2021,399592,351118,45853,5942,6998,895,85066,65592,8812,3187,5705,594,13304,11666,998,461,4470,233,5003,6719,787,2773,3796,234,4952,5626,309,25764,20775,1769,192940,143282,23312,8788,11695,915,1396,5159,726,9011,6767,434,2369,7607,597,13955,15421,1738,12700,11090,1454,5069,5940,707,6743,9186,1109,169,3624,230
2021-05-16,16-05-2021,380411,353636,46324,5121,7052,896,82338,65978,8890,3179,5786,594,11423,11868,1017,0,4493,237,5218,6528,795,2777,3804,239,4751,5658,313,25390,20649,1806,185006,144525,23525,8351,11778,924,1408,5182,729,9008,6848,436,2366,7698,604,11900,15536,1768,10896,11263,1475,4373,5995,720,6736,9323,1126,170,3672,230
2021-05-17,17-05-2021,379735,359699,46595,5131,7182,898,81726,66832,8918,3169,5941,595,11425,12191,1027,0,4571,242,5238,6567,796,2791,3831,240,4745,5764,314,25364,21064,1826,184850,146829,23691,8481,11961,936,1421,5226,731,9002,7009,433,2366,7912,606,11877,15783,1787,10877,11547,1480,4386,6113,724,6716,9635,1121,170,3741,230
2021-05-18,18-05-2021,327478,365282,47049,3723,7302,909,73995,67646,8990,2043,6085,600,9579,12459,1041,0,4646,247,4489,6571,798,2091,3861,240,3858,5819,320,21469,21525,1847,163784,149041,23890,6812,12142,955,752,5270,736,8143,7188,441,0,8063,611,9935,16011,1827,8708,11802,1503,2929,6184,733,4998,9867,1129,170,3800,232
2021-05-19,19-05-2021,298788,352047,47560,2942,7090,923,67995,67175,9051,1167,5988,602,8821,11976,1056,300,4393,254,4095,6209,806,1518,3640,243,3743,5592,328,18911,20891,1864,151595,142091,24124,6745,11417,974,1050,5047,744,7669,7008,441,479,7687,624,8854,15027,1865,7193,11424,1523,1912,5946,746,3558,9829,1154,241,3617,238
2021-05-20,20-05-2021,258469,357436,48091,2166,7168,931,60724,67936,9127,871,6101,603,7488,12140,1083,300,4474,257,3389,6239,810,658,3673,243,2932,5673,333,15403,21369,1892,134849,144386,24380,5601,11715,998,1063,5093,755,6386,7147,444,479,7774,628,6875,15251,1886,5512,11655,1544,1668,6022,756,1855,9967,1182,250,3653,239
2021-05-21,21-05-2021,213321,362043,48983,1277,7239,960,53313,68498,9291,490,6199,607,6328,12270,1117,223,4432,265,2562,6257,826,227,3687,249,2158,5738,342,11646,21811,1940,114278,146629,24735,3955,11953,1021,731,5129,762,5420,7284,449,304,7849,640,4719,15401,1976,3584,11868,1568,1266,6079,779,649,10021,1216,191,3699,240
2021-05-22,22-05-2021,172411,357556,49715,441,7113,978,48435,65376,9419,40,6186,615,4979,12268,1145,36,4161,268,1740,6238,835,12,3671,251,1341,5706,348,7727,21639,2011,95082,146187,25030,2372,11875,1051,583,5125,771,4703,7250,453,75,7796,642,2183,15373,2036,1538,11859,1599,827,6084,785,241,9986,1238,56,3663,240
